CREATED_TIMESTAMP,METRIC_VALUE_FLOAT
02-MAY-19 07.00.00 PM,1.74
02-MAY-19 06.30.00 PM,2.26
02-MAY-19 06.45.00 PM,1.75
02-MAY-19 06.00.00 PM,2.06
02-MAY-19 06.15.00 PM,2.41
02-MAY-19 05.45.00 PM,1.26
02-MAY-19 05.30.00 PM,1.68
02-MAY-19 05.00.00 PM,2.07
02-MAY-19 05.15.00 PM,1.65
02-MAY-19 04.30.00 PM,2.34
02-MAY-19 04.45.00 PM,2.85
02-MAY-19 04.00.00 PM,2.66
02-MAY-19 04.15.00 PM,2.36
02-MAY-19 03.45.00 PM,2.16
02-MAY-19 03.15.00 PM,1.57
02-MAY-19 03.30.00 PM,1.16
02-MAY-19 02.45.00 PM,1.64
02-MAY-19 03.00.00 PM,1.91
02-MAY-19 02.30.00 PM,1.94
02-MAY-19 02.00.00 PM,1.29
02-MAY-19 02.15.00 PM,1.92
02-MAY-19 01.45.00 PM,1.24
02-MAY-19 01.15.00 PM,1.34
02-MAY-19 01.30.00 PM,1.22
02-MAY-19 12.45.00 PM,1.52
02-MAY-19 01.00.00 PM,1.6
02-MAY-19 12.30.00 PM,1.41
02-MAY-19 12.00.00 PM,1.71
02-MAY-19 12.15.00 PM,1.62
02-MAY-19 11.30.00 AM,1.7
02-MAY-19 11.45.00 AM,1.17
02-MAY-19 11.15.00 AM,1.93
02-MAY-19 10.45.00 AM,1.1
02-MAY-19 11.00.00 AM,1.26
02-MAY-19 10.30.00 AM,0.98
02-MAY-19 10.00.00 AM,1.08
02-MAY-19 10.15.00 AM,1.63
02-MAY-19 09.45.00 AM,1.43
02-MAY-19 09.30.00 AM,1.31
02-MAY-19 09.15.00 AM,1.42
02-MAY-19 09.00.00 AM,1.51
02-MAY-19 08.45.00 AM,1.07
02-MAY-19 08.30.00 AM,0.83
02-MAY-19 08.00.00 AM,1.19
02-MAY-19 08.15.00 AM,0.88
02-MAY-19 07.45.00 AM,0.98
02-MAY-19 07.30.00 AM,1.11
02-MAY-19 07.15.00 AM,0.93
02-MAY-19 07.00.00 AM,1.43
02-MAY-19 06.45.00 AM,0.5
02-MAY-19 06.15.00 AM,0.69
02-MAY-19 06.30.00 AM,0.59
02-MAY-19 06.00.00 AM,0.62
02-MAY-19 05.30.00 AM,0.3
02-MAY-19 05.45.00 AM,0.43
02-MAY-19 05.00.00 AM,0.18
02-MAY-19 05.15.00 AM,0.33
02-MAY-19 04.30.00 AM,0.22
02-MAY-19 04.45.00 AM,0.17
02-MAY-19 04.15.00 AM,0.35
02-MAY-19 03.45.00 AM,0.39
02-MAY-19 04.00.00 AM,0.31
02-MAY-19 03.30.00 AM,0.29
02-MAY-19 03.00.00 AM,0.37
02-MAY-19 03.15.00 AM,0.37
02-MAY-19 02.45.00 AM,0.27
02-MAY-19 02.15.00 AM,0.4
02-MAY-19 02.30.00 AM,0.35
02-MAY-19 01.45.00 AM,0.25
02-MAY-19 02.00.00 AM,0.42
02-MAY-19 01.30.00 AM,0.39
02-MAY-19 01.00.00 AM,0.44
02-MAY-19 01.15.00 AM,0.4
02-MAY-19 12.45.00 AM,0.5
02-MAY-19 12.30.00 AM,0.85
02-MAY-19 12.15.00 AM,0.48
02-MAY-19 12.00.00 AM,1.09
02-MAY-19 12.15.00 AM,0.48
02-MAY-19 12.05.00 AM,0.65
02-MAY-19 12.10.00 AM,0.75
02-MAY-19 12.00.00 AM,1.09
03-MAY-19 11.55.00 PM,1.41
03-MAY-19 11.50.00 PM,0.78
03-MAY-19 11.30.00 PM,1.32
03-MAY-19 11.45.00 PM,1.52
03-MAY-19 11.15.00 PM,1.46
03-MAY-19 11.00.00 PM,1.92
03-MAY-19 10.45.00 PM,1.77
03-MAY-19 10.30.00 PM,1.78
03-MAY-19 10.15.00 PM,2.27
03-MAY-19 10.00.00 PM,2.84
03-MAY-19 09.30.00 PM,2.91
03-MAY-19 09.45.00 PM,2.18
03-MAY-19 09.15.00 PM,3.37
03-MAY-19 09.00.00 PM,3.72
03-MAY-19 08.30.00 PM,2.6
03-MAY-19 08.45.00 PM,3.51
03-MAY-19 08.00.00 PM,2.38
03-MAY-19 08.15.00 PM,2.68
03-MAY-19 07.30.00 PM,1.64
03-MAY-19 07.45.00 PM,1.76
03-MAY-19 07.15.00 PM,2.18
